"crrdr_d","nKBAs","ID","endID","LCP_length_km"
"CORR0454",3,"La Cangreja","H0362",64.3928810387975
"CORR0455",3,"La Cangreja","H0369",69.8097662157888
"CORR0456",5,"Yaxhá - Nakúm - Naranjo","H0145",302.673860163398
"CORR0457",5,"Yaxhá - Nakúm - Naranjo","H0176",290.36200228854
"CORR0458",5,"Yaxhá - Nakúm - Naranjo","H0124",339.202338861928
"CORR0459",5,"Yaxhá - Nakúm - Naranjo","H0134",350.2478749429
"CORR0460",5,"Yaxhá - Nakúm - Naranjo","H0220",312.590133122762
"CORR0461",3,"Diria","H0349",122.039278955093
"CORR0462",3,"Diria","H0350",151.583028174199
"CORR0463",3,"Diria","H0351",143.529808912363
"CORR0464",3,"Diria","H0352",150.231875911116
"CORR0465",4,"Diria","H0353",205.854375117367
"CORR0466",5,"Tapir Mountain","H0135",284.803323604181
"CORR0467",4,"Tapir Mountain","H0176",270.962186704217
"CORR0468",5,"Tapir Mountain","H0216",301.484015179863
"CORR0469",5,"Tapir Mountain","H0216",303.47920123731
"CORR0470",4,"Tapir Mountain","H0220",293.190317538439
"CORR0471",1,"Semuc Champey","H0145",23.4271746981833
"CORR0472",1,"Semuc Champey","H0175",43.9281944958203
"CORR0473",2,"Semuc Champey","H0220",52.7537696109041
"CORR0474",2,"Semuc Champey","H0220",53.2650173010511
"CORR0475",2,"Semuc Champey","H0220",56.1321686180328
"CORR0476",1,"Nombre de Dios","H0125",49.1896232396885
"CORR0477",1,"Nombre de Dios","H0142",47.6688893506989
"CORR0478",1,"Nombre de Dios","H0142",53.224411478331
"CORR0479",1,"Nombre de Dios","H0131",63.5783410844637
"CORR0480",1,"Nombre de Dios","H0131",65.0714783321856
"CORR0481",4,"Del Sistema Manglarico del Sector de la Boca de Guacamaya","H0381",627.773029428167
"CORR0482",4,"Del Sistema Manglarico del Sector de la Boca de Guacamaya","H0383",608.908710141258
"CORR0483",2,"Del Sistema Manglarico del Sector de la Boca de Guacamaya","H0388",374.993870427805
"CORR0484",4,"Del Sistema Manglarico del Sector de la Boca de Guacamaya","H0384",606.646565074283
"CORR0485",2,"Del Sistema Manglarico del Sector de la Boca de Guacamaya","H0389",372.095312168527
"CORR0486",1,"Serrania de las Quinchas","H0473",49.9819551321481
"CORR0487",1,"Serrania de las Quinchas","H0475",54.2338976771743
"CORR0488",1,"Serrania de las Quinchas","H0478",70.2620103223706
"CORR0489",1,"Serrania de las Quinchas","H0479",79.4391041264187
"CORR0490",2,"Serrania de las Quinchas","H0460",138.248866396316
"CORR0491",0,"La Sierpe","H0529",60.6728159674293
"CORR0492",1,"La Sierpe","H0528",74.4814299137669
"CORR0493",1,"La Sierpe","H0528",77.865217500288
"CORR0494",1,"La Sierpe","H0527",82.6257134457656
"CORR0495",1,"La Sierpe","H0527",93.2342466242748
"CORR0496",2,"San Diego y San Felipe Las Barras","H0323",35.7892995432143
"CORR0497",3,"San Diego y San Felipe Las Barras","H0323",30.2716889486058
"CORR0498",3,"San Diego y San Felipe Las Barras","H0323",32.5663569692084
"CORR0499",1,"San Diego y San Felipe Las Barras","H0314",43.8171541864466
"CORR0500",3,"San Diego y San Felipe Las Barras","H0285",53.379867911454
"CORR0501",1,"Humedales entre los Rios Leon y Suriqui","H0382",95.1379061445256
"CORR0502",1,"Humedales entre los Rios Leon y Suriqui","H0390",67.9619537223749
"CORR0503",1,"Humedales entre los Rios Leon y Suriqui","H0380",109.599752765651
"CORR0504",0,"Humedales entre los Rios Leon y Suriqui","H0398",116.138280462191
"CORR0505",0,"Humedales entre los Rios Leon y Suriqui","H0425",114.648953515499
"CORR0506",1,"Serrania de las Quinchas","H0473",65.4402787706621
"CORR0507",1,"Serrania de las Quinchas","H0475",69.6922213156886
"CORR0508",1,"Serrania de las Quinchas","H0478",85.0379263664678
"CORR0509",1,"Serrania de las Quinchas","H0479",94.2150201705165
"CORR0510",2,"Serrania de las Quinchas","H0460",133.960590596629
"CORR0511",1,"El Imposible","H0341",40.8335739806992
"CORR0512",2,"El Imposible","H0342",50.7011582482552
"CORR0513",2,"El Imposible","H0344",52.9460215657161
"CORR0514",1,"El Imposible","H0322",80.3987856221196
"CORR0515",2,"El Imposible","H0324",77.9264531065193
"CORR0516",3,"Los Rosales","H0381",463.8335357781
"CORR0517",3,"Los Rosales","H0383",483.563315733818
"CORR0518",2,"Los Rosales","H0374",493.320975703336
"CORR0519",3,"Los Rosales","H0384",494.189130661838
"CORR0520",2,"Los Rosales","H0379",496.523288493831
"CORR0521",1,"De Los Humedales Entre Los Rios Leon Y Suriqui","H0382",95.1379061445256
"CORR0522",1,"De Los Humedales Entre Los Rios Leon Y Suriqui","H0390",67.9619537223749
"CORR0523",1,"De Los Humedales Entre Los Rios Leon Y Suriqui","H0380",109.599752765651
"CORR0524",0,"De Los Humedales Entre Los Rios Leon Y Suriqui","H0398",116.138280462191
"CORR0525",0,"De Los Humedales Entre Los Rios Leon Y Suriqui","H0425",114.648953515499
"CORR0526",0,"Montana de Botaderos Carlos Escaleras Mejia","H0172",12.8890760063274
"CORR0527",0,"Montana de Botaderos Carlos Escaleras Mejia","H0156",82.0500735926606
"CORR0528",1,"Montana de Botaderos Carlos Escaleras Mejia","H0241",100.247226489271
"CORR0529",1,"Montana de Botaderos Carlos Escaleras Mejia","H0242",102.498594397458
"CORR0530",1,"Montana de Botaderos Carlos Escaleras Mejia","H0262",118.36205172911
"CORR0531",0,"Capiro   Calentura","H0172",71.8753867598892
"CORR0532",0,"Capiro   Calentura","H0156",87.586081948114
"CORR0533",1,"Capiro   Calentura","H0241",130.015750616817
"CORR0534",1,"Capiro   Calentura","H0242",132.267118525004
"CORR0535",1,"Capiro   Calentura","H0262",148.358045054796
"CORR0536",2,"Reverendo Padre Jesus Hector Gallego Herrera","H0377",54.7175487260535
"CORR0537",2,"Reverendo Padre Jesus Hector Gallego Herrera","H0377",55.9204028910416
"CORR0538",2,"Reverendo Padre Jesus Hector Gallego Herrera","H0372",70.1861872563242
"CORR0539",2,"Reverendo Padre Jesus Hector Gallego Herrera","H0373",22.4989001447802
"CORR0540",2,"Reverendo Padre Jesus Hector Gallego Herrera","H0375",71.7421383886404
"CORR0541",1,"Omoa","H0135",18.1711345337071
"CORR0542",2,"Omoa","H0254",105.968982208812
"CORR0543",1,"Omoa","H0211",128.070369262515
"CORR0544",3,"Omoa","H0149",142.006843000708
"CORR0545",4,"Omoa","H0216",117.186794205389
"CORR0546",1,"Cuenca del Lago Atitlan","H0278",17.088519558515
"CORR0547",1,"Cuenca del Lago Atitlan","H0278",22.5655243304042
"CORR0548",1,"Cuenca del Lago Atitlan","H0272",19.2028287944241
"CORR0549",1,"Cuenca del Lago Atitlan","H0275",29.680807891382
"CORR0550",1,"Cuenca del Lago Atitlan","H0260",31.2838694371443
"CORR0551",2,"Isla de Salamanca","H0374",493.565264383953
"CORR0552",3,"Isla de Salamanca","H0381",464.07782445872
"CORR0553",2,"Isla de Salamanca","H0379",496.767577174448
"CORR0554",3,"Isla de Salamanca","H0383",483.807604414438
"CORR0555",3,"Isla de Salamanca","H0384",494.509242408505
"CORR0556",1,"Zona de Reserva Para proteccion especial de la fauna  flora y en general del ecosistema natural y biotopo en el area  MONTERRICO","H0336",37.9821261348668
"CORR0557",1,"Zona de Reserva Para proteccion especial de la fauna  flora y en general del ecosistema natural y biotopo en el area  MONTERRICO","H0333",46.2087373236379
"CORR0558",1,"Zona de Reserva Para proteccion especial de la fauna  flora y en general del ecosistema natural y biotopo en el area  MONTERRICO","H0331",49.707375520562
"CORR0559",2,"Zona de Reserva Para proteccion especial de la fauna  flora y en general del ecosistema natural y biotopo en el area  MONTERRICO","H0324",115.527885632789
"CORR0560",2,"Zona de Reserva Para proteccion especial de la fauna  flora y en general del ecosistema natural y biotopo en el area  MONTERRICO","H0309",81.0957806763533
"CORR0561",6,"Barro Colorado","H0373",180.148889614033
"CORR0562",5,"Barro Colorado","H0377",228.558074131385
"CORR0563",5,"Barro Colorado","H0377",229.760928296373
"CORR0564",5,"Barro Colorado","H0372",242.036915183603
"CORR0565",5,"Barro Colorado","H0375",244.672787001415
"CORR0566",4,"Barro Colorado","H0373",152.659792302968
"CORR0567",3,"Barro Colorado","H0377",204.251313571607
"CORR0568",3,"Barro Colorado","H0377",205.454167736595
"CORR0569",3,"Barro Colorado","H0372",218.033446888011
"CORR0570",3,"Barro Colorado","H0375",220.669318705823
"CORR0571",4,"Barro Colorado","H0373",154.715097955313
"CORR0572",6,"Barro Colorado","H0377",250.602035879888
"CORR0573",6,"Barro Colorado","H0377",251.804890044876
"CORR0574",6,"Barro Colorado","H0372",264.080876932105
"CORR0575",6,"Barro Colorado","H0375",266.716748749917
"CORR0576",6,"Barro Colorado","H0373",187.330797360636
"CORR0577",5,"Barro Colorado","H0377",235.739981877988
"CORR0578",5,"Barro Colorado","H0377",236.942836042976
"CORR0579",5,"Barro Colorado","H0372",249.218822930206
"CORR0580",5,"Barro Colorado","H0375",251.854694748018
"CORR0581",1,"Bonampak","H0052",85.364542703861
"CORR0582",1,"Bonampak","H0048",87.8828696215748
"CORR0583",1,"Bonampak","H0033",105.018499593534
"CORR0584",2,"Bonampak","H0047",111.958350682181
"CORR0585",2,"Bonampak","H0060",111.108593484521
"CORR0586",1,"Yaxchilan","H0052",99.1646115140798
"CORR0587",1,"Yaxchilan","H0048",101.607115365746
"CORR0588",1,"Yaxchilan","H0033",118.894391469799
"CORR0589",2,"Yaxchilan","H0047",125.455127228214
"CORR0590",2,"Yaxchilan","H0060",124.832839228694
"CORR0591",3,"El Pucte","H0083",154.994603879259
"CORR0592",2,"El Pucte","H0100",164.979079302613
"CORR0593",4,"El Pucte","H0124",188.18798368308
"CORR0594",3,"El Pucte","H0091",164.588724546564
"CORR0595",2,"El Pucte","H0111",176.390721532367
"CORR0596",4,"Petexbatun","H0124",193.267475363894
"CORR0597",4,"Petexbatun","H0134",194.752992009557
"CORR0598",4,"Petexbatun","H0145",155.403356396154
"CORR0599",4,"Petexbatun","H0141",206.142426177436
"CORR0600",5,"Petexbatun","H0148",214.784485951101
"CORR0601",3,"Xutilha","H0145",129.322565863613
"CORR0602",3,"Xutilha","H0176",136.810922431128
"CORR0603",3,"Xutilha","H0124",165.851044562146
"CORR0604",3,"Xutilha","H0220",159.039053265354
"CORR0605",3,"Xutilha","H0220",148.703521420066
"CORR0606",3,"Machaquila","H0145",157.289271899866
"CORR0607",3,"Machaquila","H0124",193.817750598398
"CORR0608",3,"Machaquila","H0134",204.863286679372
"CORR0609",3,"Machaquila","H0148",187.029083374814
"CORR0610",3,"Machaquila","H0148",186.915348775744
"CORR0611",2,"Bocas del Polochic","H0176",22.7106658717708
"CORR0612",2,"Bocas del Polochic","H0220",44.9387967059954
"CORR0613",2,"Bocas del Polochic","H0220",62.8445505085399
"CORR0614",2,"Bocas del Polochic","H0215",52.5913463200249
"CORR0615",2,"Bocas del Polochic","H0215",54.3054481751602
"CORR0616",3,"Cerro San Gil","H0135",65.8860182865185
"CORR0617",3,"Cerro San Gil","H0216",93.081022213818
"CORR0618",3,"Cerro San Gil","H0216",95.0762082712646
"CORR0619",3,"Cerro San Gil","H0176",145.150152207638
"CORR0620",3,"Cerro San Gil","H0220",167.378283041864
"CORR0621",3,"Fortaleza La Inmaculada Concepcion de Maria","H0351",107.688472643339
"CORR0622",3,"Fortaleza La Inmaculada Concepcion de Maria","H0353",117.528460269628
"CORR0623",3,"Fortaleza La Inmaculada Concepcion de Maria","H0350",113.096158939907
"CORR0624",4,"Fortaleza La Inmaculada Concepcion de Maria","H0352",173.302605607971
"CORR0625",3,"Fortaleza La Inmaculada Concepcion de Maria","H0353",118.576974012827
"CORR0626",2,"Punta de Manabique","H0135",52.0778666072112
"CORR0627",3,"Punta de Manabique","H0216",122.404922836842
"CORR0628",3,"Punta de Manabique","H0216",124.400108894289
"CORR0629",3,"Punta de Manabique","H0254",141.057476396762
"CORR0630",2,"Punta de Manabique","H0211",169.207235507401
"CORR0631",3,"Rio Sarstun","H0135",111.898231087284
"CORR0632",3,"Rio Sarstun","H0176",99.4564728751763
"CORR0633",3,"Rio Sarstun","H0216",128.578922662966
"CORR0634",3,"Rio Sarstun","H0216",130.574108720413
"CORR0635",3,"Rio Sarstun","H0220",121.684603709401
"CORR0636",1,"Boqueron","H0262",27.0476303632664
"CORR0637",1,"Boqueron","H0262",33.0435034273621
"CORR0638",1,"Boqueron","H0242",46.259195771083
"CORR0639",1,"Boqueron","H0241",49.573664882284
"CORR0640",0,"Boqueron","H0172",97.445583346582
"CORR0641",3,"Sierra Caral","H0135",63.9980622374157
"CORR0642",3,"Sierra Caral","H0216",51.3521589003766
"CORR0643",3,"Sierra Caral","H0216",53.3473449578231
"CORR0644",2,"Sierra Caral","H0273",104.38701271359
"CORR0645",3,"Sierra Caral","H0254",101.417557700628
"CORR0646",1,"Hawaii","H0336",65.3303544726221
"CORR0647",1,"Hawaii","H0333",74.4668424539506
"CORR0648",1,"Hawaii","H0331",77.0556038583171
"CORR0649",2,"Hawaii","H0324",70.441253095731
"CORR0650",1,"Hawaii","H0322",72.9135856113313
"CORR0651",2,"Cienaga Grande de Santa Marta","H0374",440.89382242983
"CORR0652",3,"Cienaga Grande de Santa Marta","H0381",411.406382504595
"CORR0653",2,"Cienaga Grande de Santa Marta","H0379",444.096135220325
"CORR0654",3,"Cienaga Grande de Santa Marta","H0383",431.136162460313
"CORR0655",3,"Cienaga Grande de Santa Marta","H0384",441.761977388334
"CORR0656",3,"Los Colorados","H0381",353.354850895165
"CORR0657",3,"Los Colorados","H0383",373.084630850884
"CORR0658",3,"Los Colorados","H0384",383.862091910997
"CORR0659",2,"Los Colorados","H0374",382.842290820401
"CORR0660",2,"Los Colorados","H0379",386.044603610896
"CORR0661",2,"Cienaga Grande De Santa Marta","H0374",446.743437941236
"CORR0662",3,"Cienaga Grande De Santa Marta","H0381",417.180174949954
"CORR0663",2,"Cienaga Grande De Santa Marta","H0379",449.945750731731
"CORR0664",3,"Cienaga Grande De Santa Marta","H0383",436.909954905673
"CORR0665",3,"Cienaga Grande De Santa Marta","H0384",447.61159289974
"CORR0666",3,"Penon de La Honda","H0373",168.847633949349
"CORR0667",3,"Penon de La Honda","H0377",219.926791516507
"CORR0668",3,"Penon de La Honda","H0377",221.129645681495
"CORR0669",3,"Penon de La Honda","H0372",235.395430046779
"CORR0670",3,"Penon de La Honda","H0375",236.951381179096
"CORR0671",5,"Delta Estero Real","H0348",192.731787589207
"CORR0672",3,"Delta Estero Real","H0343",162.92377365027
"CORR0673",5,"Delta Estero Real","H0345",192.150759156708
"CORR0674",3,"Delta Estero Real","H0340",228.494606502487
"CORR0675",4,"Delta Estero Real","H0339",222.240973309288
"CORR0676",3,"Estero Padre Ramos","H0340",252.896050156188
"CORR0677",3,"Estero Padre Ramos","H0343",193.260970773167
"CORR0678",4,"Estero Padre Ramos","H0339",246.642416962988
"CORR0679",3,"Estero Padre Ramos","H0338",252.886851275765
"CORR0680",5,"Estero Padre Ramos","H0348",223.144807778148
"CORR0681",2,"Isla Juan Venado","H0348",230.455691327937
"CORR0682",5,"Isla Juan Venado","H0345",294.877285019335
"CORR0683",3,"Isla Juan Venado","H0343",265.72612257895
"CORR0684",4,"Isla Juan Venado","H0347",285.479688874906
"CORR0685",4,"Isla Juan Venado","H0337",321.149865239654
"CORR0686",3,"Rio Escalante Chacocente","H0349",142.296663816411
"CORR0687",2,"Rio Escalante Chacocente","H0350",181.516861359595
"CORR0688",3,"Rio Escalante Chacocente","H0348",285.223507024162
"CORR0689",3,"Rio Escalante Chacocente","H0351",257.551085848957
"CORR0690",3,"Rio Escalante Chacocente","H0352",268.101077710931
"CORR0691",2,"Cerros de Turrubares","H0356",50.0301815569258
"CORR0692",3,"Cerros de Turrubares","H0361",46.9014598098119
"CORR0693",3,"Cerros de Turrubares","H0363",49.4143981481315
"CORR0694",2,"Cerros de Turrubares","H0353",63.070903695346
"CORR0695",2,"Cerros de Turrubares","H0353",62.9100586828305
"CORR0696",2,"Complejo Volcanico San Cristobal   Casitas  Chonco","H0348",172.243314705988
"CORR0697",2,"Complejo Volcanico San Cristobal   Casitas  Chonco","H0345",214.573836235439
"CORR0698",4,"Complejo Volcanico San Cristobal   Casitas  Chonco","H0343",202.049750366562
"CORR0699",5,"Complejo Volcanico San Cristobal   Casitas  Chonco","H0337",257.700962225414
"CORR0700",3,"Complejo Volcanico San Cristobal   Casitas  Chonco","H0347",253.060705469731
"CORR0701",1,"Complejo Volcanico Telica   Rota","H0348",156.288330837139
"CORR0702",1,"Complejo Volcanico Telica   Rota","H0345",198.770498498685
"CORR0703",0,"Complejo Volcanico Telica   Rota","H0343",227.74018614305
"CORR0704",2,"Complejo Volcanico Telica   Rota","H0347",237.105721600883
"CORR0705",5,"Complejo Volcanico Telica   Rota","H0337",278.672623890477
"CORR0706",1,"Complejo Volcanico Pilas   El Hoyo","H0348",141.634232261201
"CORR0707",1,"Complejo Volcanico Pilas   El Hoyo","H0345",213.017885103123
"CORR0708",4,"Complejo Volcanico Pilas   El Hoyo","H0347",234.901464106141
"CORR0709",0,"Complejo Volcanico Pilas   El Hoyo","H0343",241.911749681442
"CORR0710",1,"Complejo Volcanico Pilas   El Hoyo","H0337",283.657894744395
"CORR0711",2,"Lagunetas de Mecatepe y Rio Manares","H0349",162.580991574695
"CORR0712",1,"Lagunetas de Mecatepe y Rio Manares","H0350",201.801189117878
"CORR0713",2,"Lagunetas de Mecatepe y Rio Manares","H0348",283.919927441557
"CORR0714",2,"Lagunetas de Mecatepe y Rio Manares","H0351",277.835413607237
"CORR0715",3,"Lagunetas de Mecatepe y Rio Manares","H0347",297.147512955394
"CORR0716",2,"Peninsula de Chiltepe","H0348",200.277107194887
"CORR0717",4,"Peninsula de Chiltepe","H0347",279.188144148681
"CORR0718",2,"Peninsula de Chiltepe","H0345",269.50630724521
"CORR0719",3,"Peninsula de Chiltepe","H0349",236.885873004802
"CORR0720",1,"Peninsula de Chiltepe","H0343",293.881270268971
"CORR0721",4,"Volcan Cosiguina","H0340",274.163383483379
"CORR0722",4,"Volcan Cosiguina","H0343",219.715025789516
"CORR0723",5,"Volcan Cosiguina","H0339",267.90975029018
"CORR0724",4,"Volcan Cosiguina","H0338",274.154184602956
"CORR0725",5,"Volcan Cosiguina","H0339",268.432891150446
"CORR0726",1,"Laguna de Tisma","H0348",247.083230166481
"CORR0727",2,"Laguna de Tisma","H0349",223.596589617701
"CORR0728",2,"Laguna de Tisma","H0347",260.159169548231
"CORR0729",1,"Laguna de Tisma","H0350",262.816787160886
"CORR0730",2,"Laguna de Tisma","H0345",305.802581910514
"CORR0731",1,"La Selva","H0354",33.4648028586778
"CORR0732",1,"La Selva","H0353",33.6137547010746
"CORR0733",1,"La Selva","H0353",46.4963261166758
"CORR0734",1,"La Selva","H0355",49.5568453998023
"CORR0735",1,"La Selva","H0355",55.1123675274347
"CORR0736",3,"Cerro Nara","H0369",19.9009398599909
"CORR0737",3,"Cerro Nara","H0363",22.02286969796
"CORR0738",3,"Cerro Nara","H0362",27.7143344865365
"CORR0739",3,"Cerro Nara","H0365",38.3022378815335
"CORR0740",3,"Cerro Nara","H0369",35.9019181309503
"CORR0741",6,"Crooked Tree","H0135",367.353213983895
"CORR0742",8,"Crooked Tree","H0149",521.066908609439
"CORR0743",8,"Crooked Tree","H0155",531.654812004437
"CORR0744",8,"Crooked Tree","H0155",533.208068847056
"CORR0745",5,"Crooked Tree","H0176",353.436254017882
"CORR0746",5,"Cockscomb Basin","H0135",230.813714607629
"CORR0747",5,"Cockscomb Basin","H0216",247.494406183314
"CORR0748",5,"Cockscomb Basin","H0176",224.302321285328
"CORR0749",5,"Cockscomb Basin","H0216",249.489592240761
"CORR0750",5,"Cockscomb Basin","H0220",246.530452119554
"CORR0751",6,"Bermudian Landing Community Baboon Sanctuary","H0135",343.351977710973
"CORR0752",8,"Bermudian Landing Community Baboon Sanctuary","H0149",497.065672336518
"CORR0753",8,"Bermudian Landing Community Baboon Sanctuary","H0155",507.653575731516
"CORR0754",8,"Bermudian Landing Community Baboon Sanctuary","H0155",509.206832574135
"CORR0755",5,"Bermudian Landing Community Baboon Sanctuary","H0176",329.510840811005
"CORR0756",1,"Tivives","H0352",57.4606505522092
"CORR0757",1,"Tivives","H0351",65.7289835750332
"CORR0758",1,"Tivives","H0353",76.75231159413
"CORR0759",1,"Tivives","H0356",81.1834969125196
"CORR0760",3,"Tivives","H0361",78.2232407799792
"CORR0761",2,"Barras de Cuero y Salado","H0125",28.5694802635895
"CORR0762",2,"Barras de Cuero y Salado","H0131",25.7716474219285
"CORR0763",2,"Barras de Cuero y Salado","H0131",25.2918066740784
"CORR0764",2,"Barras de Cuero y Salado","H0142",25.5962149495976
"CORR0765",2,"Barras de Cuero y Salado","H0142",31.8341446716483
"CORR0766",1,"Acuiferos Guacimo y Pococi","H0355",17.6403730713819
"CORR0767",1,"Acuiferos Guacimo y Pococi","H0355",19.1438252108597
"CORR0768",1,"Acuiferos Guacimo y Pococi","H0355",23.1499007969017
"CORR0769",1,"Acuiferos Guacimo y Pococi","H0354",50.9454469288775
"CORR0770",3,"Acuiferos Guacimo y Pococi","H0358",54.934703032437
"CORR0771",6,"Rio Bravo Conservation   Management Area","H0135",359.391983526286
"CORR0772",5,"Rio Bravo Conservation   Management Area","H0176",345.399200494228
"CORR0773",6,"Rio Bravo Conservation   Management Area","H0216",376.072675101968
"CORR0774",6,"Rio Bravo Conservation   Management Area","H0216",378.067861159414
"CORR0775",8,"Rio Bravo Conservation   Management Area","H0149",513.105678151831
"CORR0776",3,"Rio Banano","H0360",11.1278637377463
"CORR0777",5,"Rio Banano","H0357",27.5967895864367
"CORR0778",4,"Rio Banano","H0359",36.1998218157447
"CORR0779",3,"Rio Banano","H0369",33.5834637701105
"CORR0780",5,"Rio Banano","H0369",51.1886195981646
"CORR0781",2,"Tortuguero","H0355",69.2081079997793
"CORR0782",2,"Tortuguero","H0355",86.4065518563345
"CORR0783",2,"Tortuguero","H0355",88.8057555955847
"CORR0784",2,"Tortuguero","H0354",108.174817981917
"CORR0785",6,"Tortuguero","H0357",111.2743648094
"CORR0786",2,"Pis Pis","H0347",151.261991893471
"CORR0787",4,"Pis Pis","H0241",186.183136478181
"CORR0788",4,"Pis Pis","H0242",190.068972874427
"CORR0789",4,"Pis Pis","H0262",205.446084867503
"CORR0790",2,"Pis Pis","H0348",218.908106437239
"CORR0791",5,"Serranias de Yolaina","H0350",211.908135753696
"CORR0792",5,"Serranias de Yolaina","H0349",247.30642679656
"CORR0793",5,"Serranias de Yolaina","H0351",209.553348138196
"CORR0794",5,"Serranias de Yolaina","H0353",205.885128315363
"CORR0795",6,"Serranias de Yolaina","H0352",261.507627521615
"CORR0796",2,"Makantaka","H0347",261.866304545608
"CORR0797",1,"Makantaka","H0348",306.408050427552
"CORR0798",3,"Makantaka","H0345",406.434312309403
"CORR0799",4,"Makantaka","H0241",335.460257205959
"CORR0800",4,"Makantaka","H0242",339.346093602205
"CORR0801",2,"Sierra Quirragua","H0347",105.681393415775
"CORR0802",1,"Sierra Quirragua","H0348",104.49154843224
"CORR0803",2,"Sierra Quirragua","H0345",163.210900176276
"CORR0804",2,"Sierra Quirragua","H0343",245.038893150194
"CORR0805",2,"Sierra Quirragua","H0334",263.280462170555
"CORR0806",1,"Fila Masigue","H0348",166.636871863879
"CORR0807",2,"Fila Masigue","H0347",162.774821807873
"CORR0808",2,"Fila Masigue","H0345",225.356223607918
"CORR0809",2,"Fila Masigue","H0349",325.133732763821
"CORR0810",3,"Fila Masigue","H0350",299.036585015835
"CORR0811",2,"Yulu","H0347",313.292245966633
"CORR0812",3,"Yulu","H0241",315.540457318094
"CORR0813",2,"Yulu","H0156",275.603750948505
"CORR0814",3,"Yulu","H0242",317.952670238796
"CORR0815",3,"Yulu","H0262",333.891950636493
"CORR0816",2,"Kligna","H0347",302.959870678072
"CORR0817",3,"Kligna","H0241",330.006576507279
"CORR0818",3,"Kligna","H0242",332.418789427981
"CORR0819",2,"Kligna","H0156",290.145693203735
"CORR0820",3,"Kligna","H0262",348.282246759631
"CORR0821",3,"Limbaika","H0347",262.730186936054
"CORR0822",3,"Limbaika","H0348",331.639275239703
"CORR0823",5,"Limbaika","H0241",287.690642437649
"CORR0824",5,"Limbaika","H0242",291.576478833895
"CORR0825",5,"Limbaika","H0262",306.877767760924
"CORR0826",2,"Llanos de Karawala","H0347",319.156911204872
"CORR0827",1,"Llanos de Karawala","H0348",363.698657086819
"CORR0828",8,"Llanos de Karawala","H0350",425.753569992591
"CORR0829",8,"Llanos de Karawala","H0349",461.227684101497
"CORR0830",8,"Llanos de Karawala","H0353",414.490225860931
"CORR0831",3,"Cerro Wawashang","H0347",327.648903124807
"CORR0832",2,"Cerro Wawashang","H0348",372.190649006752
"CORR0833",8,"Cerro Wawashang","H0350",373.275496004612
"CORR0834",8,"Cerro Wawashang","H0349",408.673787047472
"CORR0835",8,"Cerro Wawashang","H0351",363.775596164197
"CORR0836",2,"Complejo Volcanico Momotombo   Momotombito","H0348",146.721806811102
"CORR0837",2,"Complejo Volcanico Momotombo   Momotombito","H0345",216.026829927471
"CORR0838",4,"Complejo Volcanico Momotombo   Momotombito","H0347",221.784918901675
"CORR0839",1,"Complejo Volcanico Momotombo   Momotombito","H0343",240.325969885191
"CORR0840",2,"Complejo Volcanico Momotombo   Momotombito","H0337",282.147938014191
"CORR0841",1,"Sierra Amerrisque","H0348",214.907419430591
"CORR0842",2,"Sierra Amerrisque","H0349",317.006730981335
"CORR0843",2,"Sierra Amerrisque","H0347",211.045369374584
"CORR0844",3,"Sierra Amerrisque","H0350",290.909583233348
"CORR0845",2,"Sierra Amerrisque","H0345",273.626771174628
"CORR0846",3,"Laguna de Apoyo","H0349",186.477692128973
"CORR0847",3,"Laguna de Apoyo","H0348",257.656546101661
"CORR0848",2,"Laguna de Apoyo","H0350",225.697889672156
"CORR0849",5,"Laguna de Apoyo","H0347",336.491759989398
"CORR0850",3,"Laguna de Apoyo","H0345",326.80992308593
"CORR0851",2,"Cerro Alamikamba","H0347",246.239053025489
"CORR0852",2,"Cerro Alamikamba","H0348",315.223964395185
"CORR0853",4,"Cerro Alamikamba","H0241",271.351154659177
"CORR0854",4,"Cerro Alamikamba","H0242",275.236991055423
"CORR0855",3,"Cerro Alamikamba","H0345",342.173563630526
"CORR0856",2,"Pablo Arturo Barrios","H0373",250.105184172281
"CORR0857",2,"Pablo Arturo Barrios","H0377",268.514102795885
"CORR0858",2,"Pablo Arturo Barrios","H0377",269.985031981732
"CORR0859",2,"Pablo Arturo Barrios","H0372",282.534020202182
"CORR0860",2,"Pablo Arturo Barrios","H0375",278.233851232377
"CORR0861",4,"La Playa de la Barqueta Agricola","H0370",84.5906085722474
"CORR0862",2,"La Playa de la Barqueta Agricola","H0369",76.4846988403024
"CORR0863",6,"La Playa de la Barqueta Agricola","H0369",114.979842420952
"CORR0864",3,"La Playa de la Barqueta Agricola","H0369",91.4133770278253
"CORR0865",4,"La Playa de la Barqueta Agricola","H0369",97.2039889556561
"CORR0866",4,"Peninsula de Nicoya","H0352",158.593313749499
"CORR0867",4,"Peninsula de Nicoya","H0351",151.891246750747
"CORR0868",5,"Peninsula de Nicoya","H0353",214.291636021796
"CORR0869",7,"Peninsula de Nicoya","H0361",256.02858220433
"CORR0870",5,"Peninsula de Nicoya","H0356",241.32086862422
"CORR0871",2,"Isla de Canas","H0373",236.781799553186
"CORR0872",2,"Isla de Canas","H0377",240.747923060812
"CORR0873",2,"Isla de Canas","H0377",242.21885224666
"CORR0874",2,"Isla de Canas","H0372",254.767840467112
"CORR0875",2,"Isla de Canas","H0375",250.467671497306
